FileA,FileB,pearson_r,p_value,n_overlap
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9204218225174694,0.0,27770336
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9243225424669012,0.0,27794317
EMSeq_HG002_LAB01_REP01.converted.bedGraph,EMSeq_HG004_LAB01_REP01.converted.bedGraph,0.8161126434024351,0.0,27818681
EMSeq_HG002_LAB01_REP01.converted.bedGraph,EMSeq_HG003_LAB01_REP01.converted.bedGraph,0.7908761823993958,0.0,27935875
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7850622295787414,0.0,27752365
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7961598984227108,0.0,27644771
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7847743733241116,0.0,27749333
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7994369950463647,0.0,27661558
CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG002_LAB01_REP01.converted.bedGraph,0.9204218225174676,0.0,27770336
CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9432205458622281,0.0,30040300
CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG004_LAB01_REP01.converted.bedGraph,0.8125395738415012,0.0,27645503
CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG003_LAB01_REP01.converted.bedGraph,0.7929950243982247,0.0,27758942
CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8051042861162775,0.0,29833237
CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8125207416492893,0.0,29671288
CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8048458319602322,0.0,29824861
CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8159008238478611,0.0,29719493
CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG002_LAB01_REP01.converted.bedGraph,0.9243225424669014,0.0,27794317
CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9432205458622281,0.0,30040300
CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG004_LAB01_REP01.converted.bedGraph,0.8160027267029849,0.0,27670113
CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG003_LAB01_REP01.converted.bedGraph,0.7961175482627686,0.0,27784205
CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8083931837439513,0.0,29897367
CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8161225059056724,0.0,29732344
CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.808005937262997,0.0,29881853
CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8196054840135365,0.0,29786594
EMSeq_HG004_LAB01_REP01.converted.bedGraph,EMSeq_HG002_LAB01_REP01.converted.bedGraph,0.8161126434024351,0.0,27818681
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8125395738415002,0.0,27645503
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8160027267029846,0.0,27670113
EMSeq_HG004_LAB01_REP01.converted.bedGraph,EMSeq_HG003_LAB01_REP01.converted.bedGraph,0.8187851682442981,0.0,27801609
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8222843405134574,0.0,27633814
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8922010256114723,0.0,27650977
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8221425554448586,0.0,27629921
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8958377225632775,0.0,27666239
EMSeq_HG003_LAB01_REP01.converted.bedGraph,EMSeq_HG002_LAB01_REP01.converted.bedGraph,0.7908761823993958,0.0,27935875
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7929950243982345,0.0,27758942
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.796117548262766,0.0,27784205
EMSeq_HG003_LAB01_REP01.converted.bedGraph,EMSeq_HG004_LAB01_REP01.converted.bedGraph,0.8187851682442981,0.0,27801609
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9059251280025098,0.0,27770567
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8130933896770776,0.0,27640764
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9056942392481669,0.0,27767119
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8161139280340004,0.0,27658275
CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG002_LAB01_REP01.converted.bedGraph,0.7850622295787434,0.0,27752365
CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8051042861162775,0.0,29833237
CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8083931837439513,0.0,29897367
CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG004_LAB01_REP01.converted.bedGraph,0.8222843405134591,0.0,27633814
CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG003_LAB01_REP01.converted.bedGraph,0.9059251280025107,0.0,27770567
CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8307320509836373,0.0,29589354
CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9210108382996942,0.0,29958882
CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8338697410024841,0.0,29640863
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG002_LAB01_REP01.converted.bedGraph,0.7961598984227107,0.0,27644771
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8125207416492893,0.0,29671288
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8161225059056724,0.0,29732344
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG004_LAB01_REP01.converted.bedGraph,0.8922010256114733,0.0,27650977
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,EMSeq_HG003_LAB01_REP01.converted.bedGraph,0.813093389677076,0.0,27640764
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8307320509836373,0.0,29589354
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8305182145612074,0.0,29576834
CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9357725469282353,0.0,29855824
