sample	condition	bin	predicted_mean	observed_fraction	n_calls
HG002	frozen	0	0.00272	0.22019	65756415
HG002	frozen	1	0.07264	0.69719	998024
HG002	frozen	2	0.12485	0.8005	759871
HG002	frozen	3	0.17432	0.85081	639292
HG002	frozen	4	0.22355	0.88111	676074
HG002	frozen	5	0.27466	0.90412	683599
HG002	frozen	6	0.32572	0.91893	715588
HG002	frozen	7	0.37476	0.93108	701750
HG002	frozen	8	0.42393	0.94042	824359
HG002	frozen	9	0.47497	0.94823	913711
HG002	frozen	10	0.52615	0.95499	1041306
HG002	frozen	11	0.57722	0.96124	1227476
HG002	frozen	12	0.62633	0.96628	1382490
HG002	frozen	13	0.67575	0.97091	1932110
HG002	frozen	14	0.72703	0.97509	2694743
HG002	frozen	15	0.77609	0.97824	3667616
HG002	frozen	16	0.82569	0.98022	6301659
HG002	frozen	17	0.87706	0.9815	11031984
HG002	frozen	18	0.92936	0.98176	23283918
HG002	frozen	19	0.98537	0.97921	123535722
HG002	ensilicated	0	0.0027	0.22323	54913389
HG002	ensilicated	1	0.07262	0.69255	811253
HG002	ensilicated	2	0.12483	0.79821	617169
HG002	ensilicated	3	0.17431	0.84842	521283
HG002	ensilicated	4	0.22354	0.8802	549830
HG002	ensilicated	5	0.27467	0.90185	558587
HG002	ensilicated	6	0.32575	0.91814	584016
HG002	ensilicated	7	0.37481	0.9303	574798
HG002	ensilicated	8	0.42393	0.93991	674794
HG002	ensilicated	9	0.47499	0.94824	751927
HG002	ensilicated	10	0.52618	0.95547	853652
HG002	ensilicated	11	0.57725	0.96118	1011731
HG002	ensilicated	12	0.62631	0.96654	1135509
HG002	ensilicated	13	0.67576	0.97128	1592189
HG002	ensilicated	14	0.72705	0.97545	2226384
HG002	ensilicated	15	0.77611	0.97877	3045600
HG002	ensilicated	16	0.8257	0.9806	5256816
HG002	ensilicated	17	0.87708	0.98195	9227348
HG002	ensilicated	18	0.92936	0.9822	19505294
HG002	ensilicated	19	0.98548	0.97983	104791942
HG003	frozen	0	0.00269	0.17062	61934979
HG003	frozen	1	0.0723	0.5675	758517
HG003	frozen	2	0.12474	0.68482	542878
HG003	frozen	3	0.17425	0.74414	445896
