chrom	total	discordant	frac_discordant	enriched
chr1	2275260	129409	0.05687657674287774	False
chr2	2107060	136232	0.06465501694303911	False
chr3	1593946	104341	0.06546081234872449	False
chr4	1421706	105200	0.07399560809337515	False
chr5	1467777	101293	0.06901116450250958	False
chr6	1391117	87899	0.06318591462831667	False
chr7	1537773	98341	0.06395027094376088	False
chr8	1250812	88569	0.07080920234215854	False
chr9	1174911	72265	0.06150678647148593	False
chr10	1323397	84417	0.06378811497985865	False
chr11	1258362	81466	0.06473971718789982	False
chr12	1251113	73117	0.0584415636317423	False
chr13	792477	59112	0.07459143924681726	False
chr14	837517	51363	0.061327710362894125	False
chr15	815848	48011	0.0588479716809994	False
chr16	1079817	60700	0.0562132287230151	False
chr17	1121231	52821	0.04710982839397056	False
chr18	673140	48645	0.07226579909082806	False
chr19	1041271	45786	0.04397126204417486	False
chr20	728922	44293	0.060765075001166104	False
chr21	407700	27910	0.06845719892077508	False
chr22	588292	31493	0.053532939424639464	False
chrX	713015	76447	0.10721653822149604	False
